index,reason,DATETIME,ENTITY_DESCRIPTION_SHORT
185,negative value in TIME_TO_PARADE_1=-120.0,2022-04-14 19:30:00,Flying Coaster
187,negative value in TIME_TO_PARADE_1=-135.0,2018-11-16 19:15:00,Water Ride
190,negative value in TIME_TO_PARADE_1=-30.0,2019-08-28 18:00:00,Water Ride
220,negative value in TIME_TO_PARADE_1=-105.0,2019-04-17 19:15:00,Water Ride
223,negative value in TIME_TO_PARADE_1=-195.0,2022-07-07 20:45:00,Flying Coaster
255,negative value in TIME_TO_PARADE_1=-135.0,2019-05-27 19:45:00,Flying Coaster
268,negative value in TIME_TO_PARADE_1=-45.0,2022-06-29 18:15:00,Flying Coaster
270,negative value in TIME_TO_PARADE_1=-60.0,2019-10-21 18:30:00,Water Ride
273,negative value in TIME_TO_PARADE_1=-120.0,2019-07-26 19:30:00,Water Ride
277,negative value in TIME_TO_PARADE_1=-15.0,2022-05-28 17:45:00,Flying Coaster
282,negative value in TIME_TO_PARADE_1=-135.0,2022-05-08 19:45:00,Pirate Ship
287,negative value in TIME_TO_PARADE_1=-225.0,2019-12-20 20:45:00,Water Ride
307,negative value in TIME_TO_PARADE_1=-165.0,2022-04-26 20:15:00,Flying Coaster
311,negative value in TIME_TO_PARADE_1=-90.0,2019-05-07 19:00:00,Flying Coaster
317,negative value in TIME_TO_PARADE_1=-30.0,2019-06-20 18:00:00,Water Ride
319,negative value in TIME_TO_PARADE_1=-120.0,2022-05-30 19:30:00,Pirate Ship
346,negative value in TIME_TO_PARADE_1=-75.0,2018-12-18 18:15:00,Flying Coaster
351,negative value in TIME_TO_PARADE_1=-120.0,2022-06-29 19:30:00,Water Ride
353,negative value in TIME_TO_PARADE_1=-180.0,2022-08-06 20:30:00,Pirate Ship
373,negative value in TIME_TO_PARADE_1=-120.0,2019-07-11 19:30:00,Water Ride
376,negative value in TIME_TO_PARADE_1=-135.0,2019-06-02 19:45:00,Flying Coaster
378,negative value in TIME_TO_PARADE_1=-150.0,2019-04-18 20:00:00,Flying Coaster
380,negative value in TIME_TO_PARADE_1=-120.0,2019-06-13 19:30:00,Water Ride
388,negative value in TIME_TO_PARADE_1=-135.0,2019-05-08 19:45:00,Flying Coaster
394,negative value in TIME_TO_PARADE_1=-150.0,2022-04-28 20:00:00,Flying Coaster
409,negative value in TIME_TO_PARADE_1=-150.0,2019-05-24 20:00:00,Water Ride
411,negative value in TIME_TO_PARADE_1=-105.0,2022-06-06 19:15:00,Pirate Ship
427,negative value in TIME_TO_PARADE_1=-195.0,2022-06-06 20:45:00,Flying Coaster
444,negative value in TIME_TO_PARADE_1=-60.0,2019-07-03 18:30:00,Flying Coaster
447,negative value in TIME_TO_PARADE_1=-150.0,2022-04-08 20:00:00,Flying Coaster
448,negative value in TIME_TO_PARADE_1=-30.0,2018-12-03 17:30:00,Flying Coaster
449,negative value in TIME_TO_PARADE_1=-90.0,2022-07-04 19:00:00,Water Ride
457,negative value in TIME_TO_PARADE_1=-180.0,2022-04-03 20:30:00,Pirate Ship
476,negative value in TIME_TO_PARADE_1=-165.0,2022-05-15 20:15:00,Pirate Ship
487,negative value in TIME_TO_PARADE_1=-195.0,2022-08-13 20:45:00,Flying Coaster
506,negative value in TIME_TO_PARADE_1=-135.0,2019-06-20 19:45:00,Water Ride
511,negative value in TIME_TO_PARADE_1=-60.0,2019-12-26 18:00:00,Water Ride
517,negative value in TIME_TO_PARADE_1=-15.0,2022-04-06 17:45:00,Pirate Ship
532,negative value in TIME_TO_PARADE_1=-15.0,2019-03-21 17:45:00,Flying Coaster
557,negative value in TIME_TO_PARADE_1=-45.0,2019-04-19 18:15:00,Water Ride
561,negative value in TIME_TO_PARADE_1=-60.0,2019-07-22 18:30:00,Water Ride
566,negative value in TIME_TO_PARADE_1=-30.0,2019-10-28 18:00:00,Flying Coaster
588,negative value in TIME_TO_PARADE_1=-150.0,2019-06-23 20:00:00,Flying Coaster
597,negative value in TIME_TO_PARADE_1=-30.0,2019-05-11 18:00:00,Water Ride
602,negative value in TIME_TO_PARADE_1=-15.0,2018-10-10 17:45:00,Pirate Ship
622,negative value in TIME_TO_PARADE_1=-45.0,2020-02-20 17:45:00,Flying Coaster
643,negative value in TIME_TO_PARADE_1=-30.0,2022-08-11 18:00:00,Flying Coaster
649,negative value in TIME_TO_PARADE_1=-180.0,2019-07-09 20:30:00,Flying Coaster
651,negative value in TIME_TO_PARADE_1=-165.0,2019-10-30 20:15:00,Flying Coaster
661,negative value in TIME_TO_PARADE_1=-120.0,2018-11-30 19:00:00,Water Ride
671,negative value in TIME_TO_PARADE_1=-90.0,2022-07-22 19:00:00,Flying Coaster
676,negative value in TIME_TO_PARADE_1=-195.0,2022-07-18 20:45:00,Pirate Ship
702,negative value in TIME_TO_PARADE_1=-150.0,2019-07-26 20:00:00,Flying Coaster
706,negative value in TIME_TO_PARADE_1=-150.0,2022-05-19 20:00:00,Pirate Ship
708,negative value in TIME_TO_PARADE_1=-30.0,2022-05-25 18:00:00,Water Ride
714,negative value in TIME_TO_PARADE_1=-75.0,2022-05-15 18:45:00,Pirate Ship
729,negative value in TIME_TO_PARADE_1=-195.0,2019-08-24 20:45:00,Flying Coaster
751,negative value in TIME_TO_PARADE_1=-195.0,2018-12-07 20:15:00,Flying Coaster
770,negative value in TIME_TO_PARADE_1=-180.0,2022-05-10 20:30:00,Pirate Ship
778,negative value in TIME_TO_PARADE_1=-45.0,2019-10-29 18:15:00,Flying Coaster
780,negative value in TIME_TO_PARADE_1=-90.0,2018-11-04 19:00:00,Flying Coaster
793,negative value in TIME_TO_PARADE_1=-105.0,2019-08-01 19:15:00,Flying Coaster
803,negative value in TIME_TO_PARADE_1=-195.0,2019-07-09 20:45:00,Flying Coaster
817,negative value in TIME_TO_PARADE_1=-180.0,2022-07-19 20:30:00,Flying Coaster
820,negative value in TIME_TO_PARADE_1=-60.0,2022-05-17 18:30:00,Water Ride
822,negative value in TIME_TO_PARADE_1=-150.0,2022-05-31 20:00:00,Water Ride
824,negative value in TIME_TO_PARADE_1=-15.0,2020-01-15 16:45:00,Pirate Ship
829,negative value in TIME_TO_PARADE_1=-75.0,2020-01-10 17:45:00,Water Ride
842,negative value in TIME_TO_PARADE_1=-195.0,2022-05-30 20:45:00,Pirate Ship
845,negative value in TIME_TO_PARADE_1=-165.0,2019-07-11 20:15:00,Flying Coaster
871,negative value in TIME_TO_PARADE_1=-75.0,2022-04-06 18:45:00,Pirate Ship
872,negative value in TIME_TO_PARADE_1=-135.0,2019-08-24 19:45:00,Water Ride
876,negative value in TIME_TO_PARADE_1=-120.0,2019-05-21 19:30:00,Water Ride
882,negative value in TIME_TO_PARADE_1=-180.0,2019-05-17 20:30:00,Flying Coaster
885,negative value in TIME_TO_PARADE_1=-165.0,2019-12-12 19:45:00,Flying Coaster
893,negative value in TIME_TO_PARADE_1=-150.0,2022-07-22 20:00:00,Flying Coaster
895,negative value in TIME_TO_PARADE_1=-150.0,2019-08-13 20:00:00,Water Ride
900,negative value in TIME_TO_PARADE_1=-135.0,2019-08-17 19:45:00,Flying Coaster
916,negative value in TIME_TO_PARADE_1=-150.0,2022-05-31 20:00:00,Pirate Ship
935,negative value in TIME_TO_PARADE_1=-45.0,2018-12-23 17:45:00,Flying Coaster
939,negative value in TIME_TO_PARADE_1=-105.0,2018-10-23 19:15:00,Flying Coaster
946,negative value in TIME_TO_PARADE_1=-135.0,2019-08-12 19:45:00,Flying Coaster
947,negative value in TIME_TO_PARADE_1=-45.0,2019-08-01 18:15:00,Water Ride
950,negative value in TIME_TO_PARADE_1=-105.0,2019-08-14 19:15:00,Water Ride
954,negative value in TIME_TO_PARADE_1=-90.0,2019-06-23 19:00:00,Flying Coaster
956,negative value in TIME_TO_PARADE_1=-105.0,2022-07-02 19:15:00,Pirate Ship
968,negative value in TIME_TO_PARADE_1=-15.0,2019-08-18 17:45:00,Flying Coaster
969,negative value in TIME_TO_PARADE_1=-30.0,2022-04-03 18:00:00,Flying Coaster
980,negative value in TIME_TO_PARADE_1=-195.0,2019-05-29 20:45:00,Flying Coaster
999,negative value in TIME_TO_PARADE_1=-135.0,2022-08-12 19:45:00,Pirate Ship
1013,negative value in TIME_TO_PARADE_1=-90.0,2022-04-03 19:00:00,Water Ride
1018,negative value in TIME_TO_PARADE_1=-60.0,2019-09-20 18:30:00,Flying Coaster
1021,negative value in TIME_TO_PARADE_1=-105.0,2019-11-29 18:45:00,Flying Coaster
1024,negative value in TIME_TO_PARADE_1=-45.0,2019-07-06 18:15:00,Flying Coaster
1033,negative value in TIME_TO_PARADE_1=-120.0,2018-10-23 19:30:00,Flying Coaster
1041,negative value in TIME_TO_PARADE_1=-30.0,2022-08-02 18:00:00,Pirate Ship
1047,negative value in TIME_TO_PARADE_1=-135.0,2019-12-22 19:15:00,Pirate Ship
1050,negative value in TIME_TO_PARADE_1=-135.0,2022-06-09 19:45:00,Flying Coaster
1055,negative value in TIME_TO_PARADE_1=-30.0,2022-04-03 18:00:00,Pirate Ship
1062,negative value in TIME_TO_PARADE_1=-105.0,2022-05-08 19:15:00,Water Ride
1067,negative value in TIME_TO_PARADE_1=-60.0,2018-12-07 18:00:00,Flying Coaster
1068,negative value in TIME_TO_PARADE_1=-165.0,2022-05-16 20:15:00,Pirate Ship
1088,negative value in TIME_TO_PARADE_1=-90.0,2019-04-26 19:00:00,Flying Coaster
1101,negative value in TIME_TO_PARADE_1=-15.0,2020-02-20 17:15:00,Pirate Ship
1105,negative value in TIME_TO_PARADE_1=-180.0,2019-08-17 20:30:00,Flying Coaster
1119,negative value in TIME_TO_PARADE_1=-90.0,2022-06-10 19:00:00,Flying Coaster
1120,negative value in TIME_TO_PARADE_1=-60.0,2018-10-14 18:30:00,Flying Coaster
1122,negative value in TIME_TO_PARADE_1=-195.0,2022-06-25 20:45:00,Flying Coaster
1134,negative value in TIME_TO_PARADE_1=-150.0,2022-06-25 20:00:00,Flying Coaster
1178,negative value in TIME_TO_PARADE_1=-135.0,2019-04-26 19:45:00,Flying Coaster
1189,negative value in TIME_TO_PARADE_1=-75.0,2018-11-30 18:15:00,Water Ride
1194,negative value in TIME_TO_PARADE_1=-120.0,2022-07-04 19:30:00,Pirate Ship
1200,negative value in TIME_TO_PARADE_1=-30.0,2020-02-02 17:00:00,Water Ride
1203,negative value in TIME_TO_PARADE_1=-195.0,2022-06-09 20:45:00,Pirate Ship
1207,negative value in TIME_TO_PARADE_1=-120.0,2019-12-22 19:00:00,Water Ride
1208,negative value in TIME_TO_PARADE_1=-165.0,2022-06-03 20:15:00,Flying Coaster
1213,negative value in TIME_TO_PARADE_1=-120.0,2022-08-03 19:30:00,Pirate Ship
1216,negative value in TIME_TO_PARADE_1=-120.0,2019-06-23 19:30:00,Water Ride
1218,negative value in TIME_TO_PARADE_1=-165.0,2022-06-23 20:15:00,Pirate Ship
1219,negative value in TIME_TO_PARADE_1=-150.0,2019-08-30 20:00:00,Water Ride
1227,negative value in TIME_TO_PARADE_1=-150.0,2019-06-27 20:00:00,Water Ride
1232,negative value in TIME_TO_PARADE_1=-150.0,2019-06-08 20:00:00,Water Ride
1234,negative value in TIME_TO_PARADE_1=-75.0,2019-10-05 18:45:00,Water Ride
1258,negative value in TIME_TO_PARADE_1=-15.0,2019-10-12 17:45:00,Flying Coaster
1264,negative value in TIME_TO_PARADE_1=-90.0,2019-06-05 19:00:00,Water Ride
1277,negative value in TIME_TO_PARADE_1=-75.0,2022-05-15 18:45:00,Flying Coaster
1284,negative value in TIME_TO_PARADE_1=-195.0,2022-05-26 20:45:00,Pirate Ship
1293,negative value in TIME_TO_PARADE_1=-105.0,2022-07-08 19:15:00,Pirate Ship
1301,negative value in TIME_TO_PARADE_1=-60.0,2019-04-14 18:30:00,Water Ride
1302,negative value in TIME_TO_PARADE_1=-30.0,2022-05-15 18:00:00,Flying Coaster
1305,negative value in TIME_TO_PARADE_1=-105.0,2019-06-15 19:15:00,Water Ride
1312,negative value in TIME_TO_PARADE_1=-90.0,2022-04-22 19:00:00,Flying Coaster
1318,negative value in TIME_TO_PARADE_1=-240.0,2019-10-26 20:30:00,Water Ride
1319,negative value in TIME_TO_PARADE_1=-180.0,2019-12-22 20:00:00,Flying Coaster
1326,negative value in TIME_TO_PARADE_1=-165.0,2022-08-15 20:15:00,Pirate Ship
1331,negative value in TIME_TO_PARADE_1=-15.0,2022-05-09 17:45:00,Pirate Ship
1335,negative value in TIME_TO_PARADE_1=-120.0,2018-10-23 19:30:00,Pirate Ship
1343,negative value in TIME_TO_PARADE_1=-240.0,2020-01-10 20:30:00,Water Ride
1344,negative value in TIME_TO_PARADE_1=-195.0,2022-04-15 20:45:00,Pirate Ship
1347,negative value in TIME_TO_PARADE_1=-210.0,2019-10-31 20:00:00,Flying Coaster
1357,negative value in TIME_TO_PARADE_1=-105.0,2022-05-25 19:15:00,Pirate Ship
1362,negative value in TIME_TO_PARADE_1=-75.0,2022-07-08 18:45:00,Pirate Ship
1378,negative value in TIME_TO_PARADE_1=-30.0,2019-12-22 17:30:00,Flying Coaster
1396,negative value in TIME_TO_PARADE_1=-15.0,2018-12-09 17:15:00,Water Ride
1400,negative value in TIME_TO_PARADE_1=-60.0,2019-05-16 18:30:00,Flying Coaster
1401,negative value in TIME_TO_PARADE_1=-15.0,2019-05-11 17:45:00,Flying Coaster
1404,negative value in TIME_TO_PARADE_1=-165.0,2022-05-16 20:15:00,Flying Coaster
1423,negative value in TIME_TO_PARADE_1=-60.0,2019-10-22 18:30:00,Flying Coaster
1430,negative value in TIME_TO_PARADE_1=-75.0,2019-08-17 18:45:00,Water Ride
1469,negative value in TIME_TO_PARADE_1=-135.0,2019-07-26 19:45:00,Water Ride
1473,negative value in TIME_TO_PARADE_1=-120.0,2020-01-10 18:30:00,Water Ride
1480,negative value in TIME_TO_PARADE_1=-15.0,2022-07-08 17:45:00,Flying Coaster
1482,negative value in TIME_TO_PARADE_1=-45.0,2018-10-11 18:15:00,Pirate Ship
1488,negative value in TIME_TO_PARADE_1=-60.0,2019-04-06 18:30:00,Water Ride
1490,negative value in TIME_TO_PARADE_1=-90.0,2019-04-18 19:00:00,Flying Coaster
1501,negative value in TIME_TO_PARADE_1=-90.0,2018-12-25 18:30:00,Flying Coaster
1502,negative value in TIME_TO_PARADE_1=-90.0,2019-09-21 19:00:00,Flying Coaster
1528,negative value in TIME_TO_PARADE_1=-30.0,2022-04-30 18:00:00,Water Ride
1538,negative value in TIME_TO_PARADE_1=-30.0,2022-05-15 18:00:00,Water Ride
1542,negative value in TIME_TO_PARADE_1=-135.0,2019-08-24 19:45:00,Flying Coaster
1551,negative value in TIME_TO_PARADE_1=-15.0,2019-12-07 17:15:00,Flying Coaster
1553,negative value in TIME_TO_PARADE_1=-90.0,2018-12-25 18:30:00,Water Ride
1556,negative value in TIME_TO_PARADE_1=-180.0,2019-12-27 20:00:00,Pirate Ship
1559,negative value in TIME_TO_PARADE_1=-30.0,2022-08-12 18:00:00,Water Ride
1571,negative value in TIME_TO_PARADE_1=-75.0,2019-10-21 18:45:00,Water Ride
1572,negative value in TIME_TO_PARADE_1=-150.0,2022-04-09 20:00:00,Flying Coaster
1578,negative value in TIME_TO_PARADE_1=-165.0,2019-08-12 20:15:00,Flying Coaster
1581,negative value in TIME_TO_PARADE_1=-195.0,2018-11-16 20:15:00,Water Ride
1596,negative value in TIME_TO_PARADE_1=-135.0,2022-04-03 19:45:00,Flying Coaster
1600,negative value in TIME_TO_PARADE_1=-30.0,2019-11-10 17:30:00,Flying Coaster
1615,negative value in TIME_TO_PARADE_1=-165.0,2022-04-21 20:15:00,Pirate Ship
1637,negative value in TIME_TO_PARADE_1=-15.0,2022-05-20 17:45:00,Flying Coaster
1650,negative value in TIME_TO_PARADE_1=-105.0,2019-10-24 19:15:00,Water Ride
1666,negative value in TIME_TO_PARADE_1=-150.0,2019-05-15 20:00:00,Flying Coaster
1691,negative value in TIME_TO_PARADE_1=-105.0,2022-04-30 19:15:00,Flying Coaster
1707,negative value in TIME_TO_PARADE_1=-120.0,2019-11-10 19:00:00,Flying Coaster
1720,negative value in TIME_TO_PARADE_1=-150.0,2022-08-13 20:00:00,Pirate Ship
1726,negative value in TIME_TO_PARADE_1=-150.0,2022-06-05 20:00:00,Pirate Ship
1766,negative value in TIME_TO_PARADE_1=-75.0,2018-11-01 18:45:00,Flying Coaster
1770,negative value in TIME_TO_PARADE_1=-60.0,2018-12-08 18:00:00,Water Ride
1786,negative value in TIME_TO_PARADE_1=-105.0,2019-12-22 18:45:00,Pirate Ship
1792,negative value in TIME_TO_PARADE_1=-105.0,2022-07-22 19:15:00,Water Ride
1794,negative value in TIME_TO_PARADE_1=-15.0,2022-04-30 17:45:00,Water Ride
1800,negative value in TIME_TO_PARADE_1=-105.0,2019-06-13 19:15:00,Water Ride
1801,negative value in TIME_TO_PARADE_1=-120.0,2022-04-24 19:30:00,Pirate Ship
1802,negative value in TIME_TO_PARADE_1=-180.0,2018-12-23 20:00:00,Flying Coaster
1825,negative value in TIME_TO_PARADE_1=-45.0,2018-12-15 17:45:00,Flying Coaster
1826,negative value in TIME_TO_PARADE_1=-75.0,2019-07-13 18:45:00,Water Ride
1830,negative value in TIME_TO_PARADE_1=-15.0,2022-04-19 17:45:00,Flying Coaster
1843,negative value in TIME_TO_PARADE_1=-120.0,2019-10-23 19:30:00,Flying Coaster
1844,negative value in TIME_TO_PARADE_1=-75.0,2019-05-22 18:45:00,Flying Coaster
1883,negative value in TIME_TO_PARADE_1=-105.0,2022-06-12 19:15:00,Pirate Ship
1885,negative value in TIME_TO_PARADE_1=-135.0,2022-05-08 19:45:00,Water Ride
1889,negative value in TIME_TO_PARADE_1=-135.0,2019-05-18 19:45:00,Flying Coaster
1903,negative value in TIME_TO_PARADE_1=-15.0,2022-08-12 17:45:00,Water Ride
1914,negative value in TIME_TO_PARADE_1=-150.0,2019-12-22 19:30:00,Pirate Ship
1915,negative value in TIME_TO_PARADE_1=-165.0,2019-07-12 20:15:00,Flying Coaster
1916,negative value in TIME_TO_PARADE_1=-120.0,2019-05-29 19:30:00,Water Ride
1926,negative value in TIME_TO_PARADE_1=-15.0,2022-05-24 17:45:00,Flying Coaster
1930,negative value in TIME_TO_PARADE_1=-60.0,2022-08-03 18:30:00,Flying Coaster
1931,negative value in TIME_TO_PARADE_1=-60.0,2019-07-26 18:30:00,Flying Coaster
1933,negative value in TIME_TO_PARADE_1=-75.0,2019-04-05 18:45:00,Water Ride
1936,negative value in TIME_TO_PARADE_1=-195.0,2019-12-25 20:15:00,Pirate Ship
1937,negative value in TIME_TO_PARADE_1=-165.0,2019-12-26 19:45:00,Flying Coaster
1947,negative value in TIME_TO_PARADE_1=-165.0,2018-12-01 19:45:00,Flying Coaster
1949,negative value in TIME_TO_PARADE_1=-105.0,2019-10-28 19:15:00,Flying Coaster
1962,negative value in TIME_TO_PARADE_1=-45.0,2022-07-04 18:15:00,Water Ride
1967,negative value in TIME_TO_PARADE_1=-90.0,2022-08-13 19:00:00,Water Ride
1969,negative value in TIME_TO_PARADE_1=-90.0,2019-08-19 19:00:00,Flying Coaster
1985,negative value in TIME_TO_PARADE_1=-15.0,2022-05-24 17:45:00,Pirate Ship
1989,negative value in TIME_TO_PARADE_1=-135.0,2022-04-04 19:45:00,Flying Coaster
1998,negative value in TIME_TO_PARADE_1=-15.0,2019-02-23 17:15:00,Water Ride
2015,negative value in TIME_TO_PARADE_1=-105.0,2019-07-03 19:15:00,Water Ride
2020,negative value in TIME_TO_PARADE_1=-165.0,2019-07-17 20:15:00,Water Ride
2035,negative value in TIME_TO_PARADE_1=-165.0,2022-08-12 20:15:00,Pirate Ship
2039,negative value in TIME_TO_PARADE_1=-75.0,2022-07-10 18:45:00,Water Ride
2044,negative value in TIME_TO_PARADE_1=-90.0,2019-07-04 19:00:00,Flying Coaster
2045,negative value in TIME_TO_PARADE_1=-135.0,2019-12-20 19:15:00,Pirate Ship
2049,negative value in TIME_TO_PARADE_1=-15.0,2019-02-25 17:15:00,Flying Coaster
2057,negative value in TIME_TO_PARADE_1=-150.0,2022-08-09 20:00:00,Pirate Ship
2093,negative value in TIME_TO_PARADE_1=-15.0,2020-01-27 16:45:00,Flying Coaster
2094,negative value in TIME_TO_PARADE_1=-105.0,2019-07-27 19:15:00,Flying Coaster
2097,negative value in TIME_TO_PARADE_1=-105.0,2019-07-26 19:15:00,Water Ride
2102,negative value in TIME_TO_PARADE_1=-180.0,2019-12-25 20:00:00,Flying Coaster
2105,negative value in TIME_TO_PARADE_1=-15.0,2019-07-25 17:45:00,Flying Coaster
2109,negative value in TIME_TO_PARADE_1=-180.0,2019-05-11 20:30:00,Flying Coaster
2114,negative value in TIME_TO_PARADE_1=-135.0,2019-07-10 19:45:00,Flying Coaster
2115,negative value in TIME_TO_PARADE_1=-90.0,2022-05-17 19:00:00,Pirate Ship
2127,negative value in TIME_TO_PARADE_1=-195.0,2022-08-08 20:45:00,Pirate Ship
2136,negative value in TIME_TO_PARADE_1=-45.0,2019-08-19 18:15:00,Water Ride
2139,negative value in TIME_TO_PARADE_1=-135.0,2022-04-03 19:45:00,Water Ride
2153,negative value in TIME_TO_PARADE_1=-90.0,2020-02-02 18:00:00,Flying Coaster
2157,negative value in TIME_TO_PARADE_1=-105.0,2019-06-22 19:15:00,Water Ride
2160,negative value in TIME_TO_PARADE_1=-90.0,2022-05-28 19:00:00,Flying Coaster
2179,negative value in TIME_TO_PARADE_1=-60.0,2018-12-07 18:00:00,Water Ride
2184,negative value in TIME_TO_PARADE_1=-30.0,2022-04-06 18:00:00,Flying Coaster
2188,negative value in TIME_TO_PARADE_1=-105.0,2022-06-06 19:15:00,Water Ride
2189,negative value in TIME_TO_PARADE_1=-120.0,2019-12-26 19:00:00,Pirate Ship
2195,negative value in TIME_TO_PARADE_1=-180.0,2022-07-04 20:30:00,Flying Coaster
2197,negative value in TIME_TO_PARADE_1=-135.0,2022-08-09 19:45:00,Flying Coaster
2198,negative value in TIME_TO_PARADE_1=-195.0,2018-11-16 20:15:00,Flying Coaster
2201,negative value in TIME_TO_PARADE_1=-60.0,2020-02-24 18:00:00,Flying Coaster
2223,negative value in TIME_TO_PARADE_1=-105.0,2022-05-07 19:15:00,Pirate Ship
2234,negative value in TIME_TO_PARADE_1=-90.0,2020-02-15 18:30:00,Flying Coaster
2244,negative value in TIME_TO_PARADE_1=-150.0,2019-06-04 20:00:00,Water Ride
2246,negative value in TIME_TO_PARADE_1=-180.0,2022-04-15 20:30:00,Flying Coaster
2267,negative value in TIME_TO_PARADE_1=-135.0,2019-04-27 19:45:00,Flying Coaster
2285,negative value in TIME_TO_PARADE_1=-165.0,2022-05-06 20:15:00,Flying Coaster
2291,negative value in TIME_TO_PARADE_1=-105.0,2022-04-03 19:15:00,Pirate Ship
2298,negative value in TIME_TO_PARADE_1=-135.0,2022-04-30 19:45:00,Pirate Ship
2301,negative value in TIME_TO_PARADE_1=-150.0,2019-04-27 20:00:00,Flying Coaster
2305,negative value in TIME_TO_PARADE_1=-90.0,2022-04-30 19:00:00,Water Ride
2306,negative value in TIME_TO_PARADE_1=-15.0,2022-05-08 17:45:00,Water Ride
2317,negative value in TIME_TO_PARADE_1=-225.0,2019-12-20 20:45:00,Flying Coaster
2329,negative value in TIME_TO_PARADE_1=-45.0,2019-08-28 18:15:00,Flying Coaster
2349,negative value in TIME_TO_PARADE_1=-195.0,2022-07-04 20:45:00,Flying Coaster
2357,negative value in TIME_TO_PARADE_1=-135.0,2019-08-18 19:45:00,Flying Coaster
2360,negative value in TIME_TO_PARADE_1=-15.0,2022-05-26 17:45:00,Pirate Ship
2379,negative value in TIME_TO_PARADE_1=-120.0,2019-07-11 19:30:00,Flying Coaster
2389,negative value in TIME_TO_PARADE_1=-120.0,2019-06-10 19:30:00,Water Ride
2402,negative value in TIME_TO_PARADE_1=-255.0,2019-10-31 20:45:00,Flying Coaster
2403,negative value in TIME_TO_PARADE_1=-225.0,2019-12-18 19:45:00,Flying Coaster
2408,negative value in TIME_TO_PARADE_1=-45.0,2019-07-22 18:15:00,Flying Coaster
2418,negative value in TIME_TO_PARADE_1=-120.0,2022-08-13 19:30:00,Water Ride
2426,negative value in TIME_TO_PARADE_1=-165.0,2018-12-28 19:45:00,Flying Coaster
2433,negative value in TIME_TO_PARADE_1=-165.0,2022-06-09 20:15:00,Pirate Ship
2445,negative value in TIME_TO_PARADE_1=-105.0,2022-07-02 19:15:00,Flying Coaster
2458,negative value in TIME_TO_PARADE_1=-30.0,2018-10-04 18:00:00,Pirate Ship
2461,negative value in TIME_TO_PARADE_1=-285.0,2018-12-19 20:45:00,Flying Coaster
2465,negative value in TIME_TO_PARADE_1=-180.0,2022-05-30 20:30:00,Pirate Ship
2470,negative value in TIME_TO_PARADE_1=-60.0,2022-04-30 18:30:00,Pirate Ship
2473,negative value in TIME_TO_PARADE_1=-60.0,2020-02-02 17:30:00,Flying Coaster
2478,negative value in TIME_TO_PARADE_1=-150.0,2022-04-02 20:00:00,Pirate Ship
2480,negative value in TIME_TO_PARADE_1=-150.0,2022-05-17 20:00:00,Flying Coaster
2485,negative value in TIME_TO_PARADE_1=-195.0,2022-08-12 20:45:00,Flying Coaster
2488,negative value in TIME_TO_PARADE_1=-45.0,2022-05-25 18:15:00,Pirate Ship
2500,negative value in TIME_TO_PARADE_1=-30.0,2022-04-19 18:00:00,Flying Coaster
