DATETIME,ENTITY_DESCRIPTION_SHORT,ADJUST_CAPACITY,DOWNTIME,CURRENT_WAIT_TIME,TIME_TO_PARADE_1,TIME_TO_PARADE_2,TIME_TO_NIGHT_SHOW,TARGET_TIME
2020-09-13 17:15:00,Pirate Ship,136.0,0,30,,,,2020-09-13 19:15:00
2021-10-13 12:00:00,Water Ride,247.0,0,25,,,,2021-10-13 14:00:00
2021-06-25 17:15:00,Pirate Ship,153.0,0,15,,,,2021-06-25 19:15:00
2022-01-13 16:30:00,Flying Coaster,756.0,0,5,,,,2022-01-13 18:30:00
2022-05-29 10:15:00,Pirate Ship,302.317,0,25,435.0,,765.0,2022-05-29 12:15:00
2022-07-24 20:45:00,Pirate Ship,225.25,0,20,-195.0,,135.0,2022-07-24 22:45:00
2022-01-05 09:45:00,Pirate Ship,30.6,0,20,,,,2022-01-05 11:45:00
2022-07-16 19:15:00,Water Ride,247.0,0,20,-105.0,,225.0,2022-07-16 21:15:00
2022-06-23 11:00:00,Pirate Ship,153.0,0,55,390.0,,720.0,2022-06-23 13:00:00
2022-06-11 13:30:00,Flying Coaster,756.0,0,40,240.0,,570.0,2022-06-11 15:30:00
2021-12-29 15:15:00,Water Ride,247.0,0,70,,,,2021-12-29 17:15:00
2021-11-03 10:45:00,Flying Coaster,756.0,0,25,,,,2021-11-03 12:45:00
2022-01-01 10:00:00,Pirate Ship,229.5,0,15,,,,2022-01-01 12:00:00
2018-10-24 14:00:00,Pirate Ship,255.0,0,35,210.0,-110.0,480.0,2018-10-24 16:00:00
2019-08-08 11:45:00,Water Ride,247.0,0,35,345.0,,675.0,2019-08-08 13:45:00
2022-05-05 20:45:00,Pirate Ship,144.5,0,60,-195.0,,135.0,2022-05-05 22:45:00
2022-04-12 20:15:00,Flying Coaster,756.0,0,5,-165.0,,165.0,2022-04-12 22:15:00
2021-10-05 14:15:00,Water Ride,224.5,0,10,,,,2021-10-05 16:15:00
2020-08-04 16:15:00,Water Ride,247.0,0,30,,,,2020-08-04 18:15:00
2019-08-29 20:00:00,Flying Coaster,756.0,0,25,-150.0,,180.0,2019-08-29 22:00:00
2021-06-23 14:00:00,Water Ride,247.0,0,15,,,,2021-06-23 16:00:00
2019-02-20 15:30:00,Flying Coaster,756.0,0,35,90.0,,210.0,2019-02-20 17:30:00
2022-07-30 19:00:00,Flying Coaster,756.0,0,15,-90.0,,240.0,2022-07-30 21:00:00
2022-03-06 16:45:00,Water Ride,247.0,0,25,,,,2022-03-06 18:45:00
2018-11-04 12:45:00,Pirate Ship,246.5,0,10,285.0,-35.0,495.0,2018-11-04 14:45:00
2022-04-05 13:00:00,Water Ride,247.0,0,35,270.0,,600.0,2022-04-05 15:00:00
2022-07-11 19:15:00,Water Ride,247.0,0,30,-105.0,,225.0,2022-07-11 21:15:00
2022-01-14 11:45:00,Pirate Ship,168.3,0,35,,,,2022-01-14 13:45:00
2018-12-17 16:45:00,Flying Coaster,756.0,0,20,15.0,-295.0,135.0,2018-12-17 18:45:00
2021-10-12 12:45:00,Pirate Ship,272.0,0,15,,,,2021-10-12 14:45:00
2019-06-26 19:00:00,Flying Coaster,441.0,0,30,-90.0,,240.0,2019-06-26 21:00:00
2022-02-18 15:45:00,Water Ride,247.0,0,30,,,,2022-02-18 17:45:00
2019-05-16 10:00:00,Water Ride,247.0,0,5,450.0,,750.0,2019-05-16 12:00:00
2021-12-29 12:45:00,Pirate Ship,229.5,0,50,,,,2021-12-29 14:45:00
2022-07-28 14:00:00,Pirate Ship,301.75,0,35,210.0,,540.0,2022-07-28 16:00:00
2022-01-03 16:45:00,Water Ride,247.0,0,30,,,,2022-01-03 18:45:00
2020-10-12 10:15:00,Pirate Ship,103.133,0,20,,,,2020-10-12 12:15:00
2020-09-04 17:15:00,Pirate Ship,136.0,0,15,,,,2020-09-04 19:15:00
2019-07-21 20:30:00,Flying Coaster,756.0,0,5,-180.0,,150.0,2019-07-21 22:30:00
2020-10-19 14:15:00,Flying Coaster,756.0,0,40,,,,2020-10-19 16:15:00
2020-10-06 12:00:00,Water Ride,247.0,0,5,,,,2020-10-06 14:00:00
2019-06-25 18:30:00,Water Ride,247.0,0,30,-60.0,,270.0,2019-06-25 20:30:00
2020-10-14 15:00:00,Water Ride,247.0,0,10,,,,2020-10-14 17:00:00
2022-06-24 19:30:00,Water Ride,247.0,0,30,-120.0,,210.0,2022-06-24 21:30:00
2020-10-08 09:15:00,Water Ride,247.0,0,5,,,,2020-10-08 11:15:00
2022-02-21 17:30:00,Pirate Ship,221.0,0,15,,,,2022-02-21 19:30:00
2022-07-23 17:45:00,Pirate Ship,306.0,0,30,-15.0,,315.0,2022-07-23 19:45:00
2022-04-17 12:45:00,Flying Coaster,756.0,0,40,285.0,,615.0,2022-04-17 14:45:00
2019-10-13 13:00:00,Water Ride,247.0,0,20,270.0,-30.0,480.0,2019-10-13 15:00:00
2021-12-30 16:30:00,Pirate Ship,297.5,0,45,,,,2021-12-30 18:30:00
2018-11-23 15:45:00,Flying Coaster,724.5,0,25,75.0,-235.0,195.0,2018-11-23 17:45:00
2020-02-27 17:00:00,Pirate Ship,153.0,0,45,0.0,,180.0,2020-02-27 19:00:00
2022-06-11 17:00:00,Pirate Ship,301.75,0,30,30.0,,360.0,2022-06-11 19:00:00
2020-01-14 15:45:00,Flying Coaster,756.0,0,5,45.0,,165.0,2020-01-14 17:45:00
2022-01-15 13:30:00,Flying Coaster,756.0,0,15,,,,2022-01-15 15:30:00
2022-07-11 16:00:00,Water Ride,247.0,0,20,90.0,,420.0,2022-07-11 18:00:00
2018-10-04 13:15:00,Water Ride,202.0,0,20,255.0,-65.0,405.0,2018-10-04 15:15:00
2020-09-20 11:00:00,Pirate Ship,139.967,0,35,,,,2020-09-20 13:00:00
2019-07-08 09:30:00,Flying Coaster,201.6,0,0,480.0,,810.0,2019-07-08 11:30:00
2020-08-08 15:15:00,Water Ride,247.0,0,20,,,,2020-08-08 17:15:00
2022-06-05 15:00:00,Flying Coaster,756.0,0,50,150.0,,480.0,2022-06-05 17:00:00
2021-10-27 13:45:00,Pirate Ship,306.0,0,35,,,,2021-10-27 15:45:00
2022-06-03 12:45:00,Water Ride,247.0,0,40,285.0,,615.0,2022-06-03 14:45:00
2021-08-12 19:00:00,Pirate Ship,280.5,0,25,,,,2021-08-12 21:00:00
2018-11-26 15:30:00,Flying Coaster,756.0,0,25,90.0,-220.0,210.0,2018-11-26 17:30:00
2022-06-29 11:00:00,Flying Coaster,756.0,0,5,390.0,,720.0,2022-06-29 13:00:00
2018-10-28 16:45:00,Pirate Ship,235.733,0,30,45.0,-275.0,315.0,2018-10-28 18:45:00
2021-11-19 17:45:00,Pirate Ship,153.0,0,50,,,,2021-11-19 19:45:00
2019-11-01 15:30:00,Water Ride,247.0,0,35,120.0,-180.0,390.0,2019-11-01 17:30:00
2021-11-18 16:15:00,Water Ride,247.0,0,20,,,,2021-11-18 18:15:00
2021-07-14 19:00:00,Pirate Ship,280.5,0,15,,,,2021-07-14 21:00:00
2021-07-14 19:00:00,Water Ride,247.0,0,15,,,,2021-07-14 21:00:00
2022-02-18 15:45:00,Pirate Ship,153.0,0,30,,,,2022-02-18 17:45:00
2022-07-26 11:00:00,Pirate Ship,293.25,0,25,390.0,,720.0,2022-07-26 13:00:00
2022-04-11 10:45:00,Flying Coaster,756.0,0,5,405.0,,735.0,2022-04-11 12:45:00
2022-02-01 16:15:00,Water Ride,247.0,0,15,,,,2022-02-01 18:15:00
2019-10-15 17:45:00,Flying Coaster,756.0,0,5,-15.0,-315.0,135.0,2019-10-15 19:45:00
2019-06-30 15:45:00,Water Ride,247.0,0,20,105.0,,435.0,2019-06-30 17:45:00
2021-06-25 10:00:00,Water Ride,247.0,0,10,,,,2021-06-25 12:00:00
2019-12-29 15:30:00,Flying Coaster,756.0,0,50,90.0,-210.0,390.0,2019-12-29 17:30:00
2022-08-10 19:30:00,Flying Coaster,756.0,0,5,-120.0,,210.0,2022-08-10 21:30:00
2018-10-08 15:30:00,Water Ride,224.5,0,15,120.0,-200.0,270.0,2018-10-08 17:30:00
2022-02-04 15:45:00,Pirate Ship,153.0,0,20,,,,2022-02-04 17:45:00
2022-04-29 19:30:00,Water Ride,247.0,0,20,-120.0,,210.0,2022-04-29 21:30:00
2020-02-18 15:45:00,Water Ride,247.0,0,40,75.0,,255.0,2020-02-18 17:45:00
2021-07-26 18:15:00,Flying Coaster,756.0,0,5,,,,2021-07-26 20:15:00
2022-01-19 17:30:00,Water Ride,247.0,0,5,,,,2022-01-19 19:30:00
2019-07-24 11:15:00,Flying Coaster,151.2,12,15,375.0,,705.0,2019-07-24 13:15:00
2018-12-22 13:45:00,Water Ride,247.0,0,40,195.0,-115.0,495.0,2018-12-22 15:45:00
2019-07-29 12:30:00,Water Ride,32.9333,13,30,300.0,,630.0,2019-07-29 14:30:00
2021-12-09 13:15:00,Flying Coaster,756.0,0,25,,,,2021-12-09 15:15:00
2021-12-26 17:00:00,Water Ride,247.0,0,45,,,,2021-12-26 19:00:00
2022-04-17 19:30:00,Water Ride,247.0,0,25,-120.0,,210.0,2022-04-17 21:30:00
2019-01-31 11:30:00,Flying Coaster,378.0,0,10,300.0,,420.0,2019-01-31 13:30:00
2022-07-12 20:00:00,Flying Coaster,756.0,0,5,-150.0,,180.0,2022-07-12 22:00:00
2021-08-19 18:45:00,Water Ride,247.0,0,40,,,,2021-08-19 20:45:00
2019-04-14 10:45:00,Flying Coaster,756.0,0,20,405.0,,675.0,2019-04-14 12:45:00
2022-05-29 10:15:00,Flying Coaster,756.0,0,5,435.0,,765.0,2022-05-29 12:15:00
2022-05-02 19:15:00,Water Ride,247.0,0,30,-105.0,,225.0,2022-05-02 21:15:00
2019-05-06 10:45:00,Flying Coaster,693.0,0,5,405.0,,705.0,2019-05-06 12:45:00
2022-04-30 12:15:00,Flying Coaster,756.0,0,35,315.0,,645.0,2022-04-30 14:15:00
2020-09-14 10:45:00,Pirate Ship,123.25,0,5,,,,2020-09-14 12:45:00
2019-03-06 11:15:00,Flying Coaster,453.6,6,20,345.0,,495.0,2019-03-06 13:15:00
2021-11-10 13:45:00,Flying Coaster,756.0,0,15,,,,2021-11-10 15:45:00
2020-10-19 14:15:00,Water Ride,247.0,0,25,,,,2020-10-19 16:15:00
2022-04-28 10:45:00,Pirate Ship,221.0,0,40,405.0,,735.0,2022-04-28 12:45:00
2021-11-10 16:00:00,Water Ride,247.0,0,25,,,,2021-11-10 18:00:00
2019-03-14 15:30:00,Flying Coaster,756.0,0,10,90.0,,240.0,2019-03-14 17:30:00
2022-05-21 19:15:00,Pirate Ship,225.25,0,40,-105.0,,225.0,2022-05-21 21:15:00
2021-10-02 18:45:00,Pirate Ship,153.0,0,10,,,,2021-10-02 20:45:00
2021-11-03 10:45:00,Pirate Ship,301.75,0,40,,,,2021-11-03 12:45:00
2021-10-12 16:15:00,Water Ride,247.0,0,40,,,,2021-10-12 18:15:00
2020-02-10 15:00:00,Pirate Ship,124.1,0,60,120.0,,240.0,2020-02-10 17:00:00
2021-08-02 11:45:00,Flying Coaster,756.0,0,5,,,,2021-08-02 13:45:00
2022-06-07 11:45:00,Water Ride,247.0,0,25,345.0,,675.0,2022-06-07 13:45:00
2022-07-13 20:45:00,Pirate Ship,280.5,0,25,-195.0,,135.0,2022-07-13 22:45:00
2021-08-30 16:00:00,Pirate Ship,306.0,0,35,,,,2021-08-30 18:00:00
2021-08-23 09:45:00,Pirate Ship,107.1,0,5,,,,2021-08-23 11:45:00
2019-10-11 15:15:00,Water Ride,224.5,0,20,135.0,-165.0,285.0,2019-10-11 17:15:00
2019-05-23 10:15:00,Water Ride,247.0,0,10,435.0,,765.0,2019-05-23 12:15:00
2018-10-21 18:00:00,Pirate Ship,259.25,0,60,-30.0,-350.0,240.0,2018-10-21 20:00:00
2022-07-23 15:00:00,Water Ride,247.0,0,15,150.0,,480.0,2022-07-23 17:00:00
2021-06-25 17:15:00,Water Ride,247.0,0,20,,,,2021-06-25 19:15:00
2022-04-18 15:15:00,Pirate Ship,301.75,0,60,135.0,,465.0,2022-04-18 17:15:00
2021-08-27 18:30:00,Pirate Ship,306.0,0,45,,,,2021-08-27 20:30:00
2021-09-02 12:15:00,Pirate Ship,301.75,0,25,,,,2021-09-02 14:15:00
2019-03-08 15:45:00,Flying Coaster,756.0,0,50,75.0,,225.0,2019-03-08 17:45:00
2021-07-09 17:15:00,Water Ride,247.0,0,10,,,,2021-07-09 19:15:00
2019-12-29 18:30:00,Flying Coaster,756.0,0,35,-90.0,-390.0,210.0,2019-12-29 20:30:00
2022-05-01 14:30:00,Water Ride,247.0,0,45,180.0,,510.0,2022-05-01 16:30:00
2021-12-26 17:00:00,Flying Coaster,756.0,0,35,,,,2021-12-26 19:00:00
2021-12-24 12:00:00,Water Ride,247.0,0,25,,,,2021-12-24 14:00:00
2022-07-23 20:00:00,Flying Coaster,756.0,0,5,-150.0,,180.0,2022-07-23 22:00:00
2021-09-20 17:45:00,Water Ride,247.0,0,15,,,,2021-09-20 19:45:00
2021-12-23 19:00:00,Water Ride,247.0,0,20,,,,2021-12-23 21:00:00
2022-06-11 19:45:00,Pirate Ship,301.75,0,30,-135.0,,195.0,2022-06-11 21:45:00
2021-08-22 18:30:00,Flying Coaster,756.0,0,5,,,,2021-08-22 20:30:00
2018-10-31 19:15:00,Pirate Ship,199.75,0,15,-165.0,-410.0,-35.0,2018-10-31 21:15:00
2021-12-11 15:15:00,Flying Coaster,756.0,0,45,,,,2021-12-11 17:15:00
2020-07-25 17:00:00,Pirate Ship,185.867,0,50,,,,2020-07-25 19:00:00
2020-03-06 10:15:00,Flying Coaster,730.8,0,5,405.0,,555.0,2020-03-06 12:15:00
2021-08-27 16:30:00,Flying Coaster,756.0,0,15,,,,2021-08-27 18:30:00
2020-08-15 15:45:00,Pirate Ship,161.5,0,50,,,,2020-08-15 17:45:00
2019-10-15 15:30:00,Flying Coaster,756.0,0,30,120.0,-180.0,270.0,2019-10-15 17:30:00
2020-02-11 16:15:00,Flying Coaster,756.0,0,20,45.0,,165.0,2020-02-11 18:15:00
2020-08-28 16:45:00,Flying Coaster,756.0,0,10,,,,2020-08-28 18:45:00
2021-11-07 16:15:00,Flying Coaster,756.0,0,5,,,,2021-11-07 18:15:00
2020-08-03 17:30:00,Pirate Ship,136.0,0,55,,,,2020-08-03 19:30:00
2020-08-28 11:30:00,Water Ride,247.0,0,10,,,,2020-08-28 13:30:00
2022-08-03 11:15:00,Pirate Ship,199.467,0,40,375.0,,705.0,2022-08-03 13:15:00
2019-06-12 12:00:00,Water Ride,247.0,0,20,330.0,,660.0,2019-06-12 14:00:00
2021-11-21 15:15:00,Flying Coaster,756.0,0,20,,,,2021-11-21 17:15:00
2018-10-26 12:00:00,Flying Coaster,756.0,0,30,330.0,10.0,600.0,2018-10-26 14:00:00
2021-10-16 15:00:00,Flying Coaster,756.0,0,40,,,,2021-10-16 17:00:00
2019-07-26 12:45:00,Water Ride,247.0,0,30,285.0,,615.0,2019-07-26 14:45:00
2022-07-07 09:30:00,Pirate Ship,117.3,0,40,480.0,,810.0,2022-07-07 11:30:00
2022-07-15 15:00:00,Pirate Ship,306.0,0,45,150.0,,480.0,2022-07-15 17:00:00
2021-10-12 12:45:00,Flying Coaster,756.0,0,10,,,,2021-10-12 14:45:00
2018-11-26 15:30:00,Water Ride,247.0,0,25,90.0,-220.0,210.0,2018-11-26 17:30:00
2022-08-05 15:00:00,Flying Coaster,756.0,0,40,150.0,,480.0,2022-08-05 17:00:00
2019-07-30 18:00:00,Flying Coaster,756.0,0,15,-30.0,,300.0,2019-07-30 20:00:00
2021-09-26 09:45:00,Pirate Ship,15.3,0,5,,,,2021-09-26 11:45:00
2021-09-28 16:45:00,Pirate Ship,216.75,0,15,,,,2021-09-28 18:45:00
2021-11-01 13:15:00,Flying Coaster,756.0,0,45,,,,2021-11-01 15:15:00
2022-06-30 16:15:00,Water Ride,247.0,0,30,75.0,,405.0,2022-06-30 18:15:00
2020-08-29 10:30:00,Pirate Ship,135.717,0,40,,,,2020-08-29 12:30:00
2021-09-21 10:15:00,Water Ride,224.5,0,15,,,,2021-09-21 12:15:00
2022-05-04 15:15:00,Water Ride,179.75,0,45,135.0,,465.0,2022-05-04 17:15:00
2022-06-05 12:30:00,Pirate Ship,35.7,11,50,300.0,,630.0,2022-06-05 14:30:00
2022-04-06 20:45:00,Pirate Ship,148.75,0,40,-195.0,,135.0,2022-04-06 22:45:00
2020-08-12 17:15:00,Water Ride,197.6,3,15,,,,2020-08-12 19:15:00
2020-02-26 13:45:00,Pirate Ship,267.75,0,35,195.0,,375.0,2020-02-26 15:45:00
2021-09-29 10:30:00,Pirate Ship,153.0,0,5,,,,2021-09-29 12:30:00
2019-12-22 12:45:00,Water Ride,247.0,0,30,255.0,-45.0,555.0,2019-12-22 14:45:00
2022-02-15 17:00:00,Pirate Ship,153.0,0,25,,,,2022-02-15 19:00:00
2021-10-09 10:45:00,Flying Coaster,756.0,0,15,,,,2021-10-09 12:45:00
2022-01-11 15:00:00,Water Ride,247.0,0,15,,,,2022-01-11 17:00:00
2020-10-07 13:45:00,Flying Coaster,756.0,0,5,,,,2020-10-07 15:45:00
2020-09-12 12:15:00,Pirate Ship,263.5,0,35,,,,2020-09-12 14:15:00
2022-03-27 12:15:00,Flying Coaster,756.0,0,35,,,,2022-03-27 14:15:00
2021-08-11 10:30:00,Flying Coaster,722.4,0,10,,,,2021-08-11 12:30:00
2022-02-15 17:00:00,Water Ride,247.0,0,30,,,,2022-02-15 19:00:00
2020-10-03 14:00:00,Flying Coaster,756.0,0,25,,,,2020-10-03 16:00:00
2021-09-28 14:30:00,Flying Coaster,756.0,0,5,,,,2021-09-28 16:30:00
2019-06-25 15:30:00,Water Ride,247.0,0,35,120.0,,450.0,2019-06-25 17:30:00
2022-04-29 10:00:00,Pirate Ship,153.0,0,30,450.0,,780.0,2022-04-29 12:00:00
2022-06-30 13:15:00,Pirate Ship,153.0,0,15,255.0,,585.0,2022-06-30 15:15:00
2021-12-19 12:30:00,Water Ride,247.0,0,40,,,,2021-12-19 14:30:00
2018-10-31 19:15:00,Flying Coaster,756.0,0,25,-165.0,-410.0,-35.0,2018-10-31 21:15:00
2021-08-10 13:45:00,Water Ride,224.5,0,40,,,,2021-08-10 15:45:00
2021-11-06 15:00:00,Flying Coaster,756.0,0,40,,,,2021-11-06 17:00:00
2019-12-28 18:30:00,Pirate Ship,280.5,0,40,-90.0,-390.0,210.0,2019-12-28 20:30:00
2021-11-14 17:30:00,Flying Coaster,756.0,0,5,,,,2021-11-14 19:30:00
2020-08-03 17:30:00,Water Ride,247.0,0,20,,,,2020-08-03 19:30:00
2020-03-06 10:15:00,Pirate Ship,153.0,0,50,405.0,,555.0,2020-03-06 12:15:00
2020-02-14 11:15:00,Flying Coaster,504.0,5,5,345.0,,465.0,2020-02-14 13:15:00
2022-05-21 19:15:00,Flying Coaster,50.4,14,15,-105.0,,225.0,2022-05-21 21:15:00
2022-06-11 17:00:00,Water Ride,247.0,0,45,30.0,,360.0,2022-06-11 19:00:00
2021-12-19 19:00:00,Pirate Ship,306.0,0,15,,,,2021-12-19 21:00:00
2020-08-03 17:30:00,Flying Coaster,756.0,0,30,,,,2020-08-03 19:30:00
2019-02-21 10:00:00,Water Ride,247.0,0,20,420.0,,540.0,2019-02-21 12:00:00
2021-12-09 17:00:00,Water Ride,247.0,0,25,,,,2021-12-09 19:00:00
2021-09-17 15:00:00,Water Ride,202.0,0,20,,,,2021-09-17 17:00:00
2022-07-07 09:30:00,Water Ride,247.0,0,5,480.0,,810.0,2022-07-07 11:30:00
2022-04-12 14:45:00,Flying Coaster,756.0,0,50,165.0,,495.0,2022-04-12 16:45:00
2022-01-07 16:30:00,Water Ride,247.0,0,30,,,,2022-01-07 18:30:00
2021-10-08 13:45:00,Water Ride,22.5,0,15,,,,2021-10-08 15:45:00
2019-10-17 12:45:00,Water Ride,149.667,5,30,285.0,-15.0,435.0,2019-10-17 14:45:00
2022-05-01 19:30:00,Water Ride,247.0,0,25,-120.0,,210.0,2022-05-01 21:30:00
2021-11-19 15:00:00,Water Ride,197.6,3,25,,,,2021-11-19 17:00:00
2022-04-05 13:00:00,Pirate Ship,153.0,0,35,270.0,,600.0,2022-04-05 15:00:00
2019-02-05 13:00:00,Flying Coaster,756.0,0,15,240.0,,360.0,2019-02-05 15:00:00
2020-02-26 18:15:00,Flying Coaster,756.0,0,15,-75.0,,105.0,2020-02-26 20:15:00
2021-08-19 12:15:00,Water Ride,247.0,0,30,,,,2021-08-19 14:15:00
2020-09-10 17:45:00,Pirate Ship,127.5,0,10,,,,2020-09-10 19:45:00
2019-10-24 14:30:00,Flying Coaster,756.0,0,45,180.0,-120.0,450.0,2019-10-24 16:30:00
2019-12-30 11:30:00,Water Ride,202.0,0,20,330.0,30.0,630.0,2019-12-30 13:30:00
2019-02-27 13:00:00,Water Ride,247.0,0,20,240.0,,390.0,2019-02-27 15:00:00
2020-01-13 15:15:00,Flying Coaster,756.0,0,20,75.0,,195.0,2020-01-13 17:15:00
2019-06-26 19:00:00,Water Ride,247.0,0,30,-90.0,,240.0,2019-06-26 21:00:00
2021-08-19 18:45:00,Flying Coaster,756.0,0,5,,,,2021-08-19 20:45:00
2020-02-29 12:00:00,Flying Coaster,756.0,0,60,300.0,,540.0,2020-02-29 14:00:00
2021-10-07 15:15:00,Water Ride,89.8,9,10,,,,2021-10-07 17:15:00
2022-03-11 16:30:00,Flying Coaster,756.0,0,5,,,,2022-03-11 18:30:00
2020-01-07 16:00:00,Flying Coaster,756.0,0,15,30.0,,120.0,2020-01-07 18:00:00
2022-01-11 12:15:00,Flying Coaster,630.0,0,25,,,,2022-01-11 14:15:00
2022-01-25 10:00:00,Pirate Ship,153.0,0,15,,,,2022-01-25 12:00:00
2018-10-28 16:45:00,Flying Coaster,756.0,0,35,45.0,-275.0,315.0,2018-10-28 18:45:00
2021-12-27 13:15:00,Pirate Ship,297.5,0,45,,,,2021-12-27 15:15:00
2021-11-29 16:30:00,Flying Coaster,756.0,0,30,,,,2021-11-29 18:30:00
2022-06-11 19:45:00,Water Ride,247.0,0,35,-135.0,,195.0,2022-06-11 21:45:00
2019-11-05 15:15:00,Flying Coaster,756.0,0,5,135.0,,225.0,2019-11-05 17:15:00
2019-06-26 11:30:00,Water Ride,98.8,9,20,360.0,,690.0,2019-06-26 13:30:00
2021-09-17 13:00:00,Flying Coaster,756.0,0,5,,,,2021-09-17 15:00:00
2018-11-08 14:15:00,Flying Coaster,756.0,0,5,195.0,,285.0,2018-11-08 16:15:00
2021-08-09 11:15:00,Water Ride,181.133,4,25,,,,2021-08-09 13:15:00
2020-01-31 14:45:00,Water Ride,247.0,0,15,105.0,,225.0,2020-01-31 16:45:00
2022-03-05 12:15:00,Water Ride,247.0,0,20,,,,2022-03-05 14:15:00
2021-10-08 13:45:00,Flying Coaster,756.0,0,10,,,,2021-10-08 15:45:00
2019-12-26 10:15:00,Water Ride,247.0,0,20,405.0,105.0,705.0,2019-12-26 12:15:00
2022-06-11 10:30:00,Flying Coaster,756.0,0,10,420.0,,750.0,2022-06-11 12:30:00
